Month & Year,,RSPM / PM10,SO2,NO2
Jan-10,,12.8,29.3,144
Feb-10,,11.8,32,147
Mar-10,,12,27.7,134
Apr-10,,10.7,29.9,155
May-10,,11.5,32.8,148
Jun-10,,11.5,31.4,165
Jul-10,,12.4,36.9,156.4
Aug-10,,11.1,33.8,171.1
Sep-10,,13.1,35.2,156.2
Oct-10,,11.4,41,157.3
Nov-10,,10,28.7,92.8
Dec-10,,9.4,24.9,95.3
Jan-11,,8,22,141
Feb-11,,12,24,154
Mar-11,,10,23,148
Apr-11,,11,21,128
May-11,,11,24,138
Jun-11,,9,21,195
Jul-11,,10,24,165
Aug-11,,9,17,149
Sep-11,,11,24,116
Oct-11,,11,16,166
Nov-11,,10,29,151
Dec-11,,18,19,177
Jan-12,,11,14,129
Feb-12,,9,18,143
Mar-12,,16,24,183
Apr-12,,19,23,148
May-12,,13,25,164
Jun-12,,12,31,176
Jul-12,,14,21,164
Aug-12,,13,17,153
Sep-12,,13,18,126
Oct-12,,14,22,146
Nov-12,,13,35,175
Dec-12,,11,39,113
Jan-13,,97,16,51
Feb-13,,98,6,27
Mar-13,,89,5,31
Apr-13,,89,10,28
May-13,,110,13,38
Jun-13,,147,13,40
Jul-13,,117,14,42
Aug-13,,189,15,26
Sep-13,,118,14,20
Oct-13,,167,16,24
Nov-13,,109,14,23
Dec-13,,108,22,26
Jan-14,,103,21,27
Feb-14,,98,26,31
Mar-14,,100,17,23
Apr-14,,113,19,26
May-14,,115,18,29
Jun-14,,109,18,31
Jul-14,,106,17,29
Aug-14,,132,16,44
Sep-14,,76,19,31
Oct-14,,76,18,28
Nov-14,,97,18,28
Dec-14,,96,21,29
Jan-15,,89,22,28
Feb-15,,87,21,27
Mar-15,,86,21,27
Apr-15,,70,18,22
May-15,,67,17,27
Jun-15,,122,19,25
Jul-15,,97,16,24
Aug-15,,112,14,21
Sep-15,,62,19,26
Oct-15,,71,14,22
Nov-15,,64,14,18
Dec-15,,164,12,21
